TARGETID,file_idx,parquet_file,row_in_file,abs_index
43154323856707757,262,train-00262-of-00396.parquet,171,67505
43154323856707296,262,train-00262-of-00396.parquet,175,67509
43154323856714048,262,train-00262-of-00396.parquet,188,67522
43154323856710151,262,train-00262-of-00396.parquet,191,67525
43154323856694347,262,train-00262-of-00396.parquet,193,67527
43154323856711826,262,train-00262-of-00396.parquet,195,67529
42085212007453614,263,train-00263-of-00396.parquet,85,67676
42085212007452332,263,train-00263-of-00396.parquet,89,67680
42085212007451260,263,train-00263-of-00396.parquet,107,67698
42085074568506118,263,train-00263-of-00396.parquet,110,67701
42085074568510398,263,train-00263-of-00396.parquet,118,67709
42085074568508775,263,train-00263-of-00396.parquet,126,67717
42085074568505197,263,train-00263-of-00396.parquet,132,67723
42085074568501224,263,train-00263-of-00396.parquet,133,67724
42085074568510611,263,train-00263-of-00396.parquet,153,67744
42085074568504864,263,train-00263-of-00396.parquet,160,67751
42085074568504466,263,train-00263-of-00396.parquet,163,67754
42085074568500442,263,train-00263-of-00396.parquet,178,67769
43154319561745944,263,train-00263-of-00396.parquet,213,67804
43154319561744340,263,train-00263-of-00396.parquet,233,67824
42085216302417398,264,train-00264-of-00396.parquet,1,67849
43154319561747035,264,train-00264-of-00396.parquet,2,67850
43154319561747339,264,train-00264-of-00396.parquet,6,67854
43154319561747340,264,train-00264-of-00396.parquet,8,67856
42085216302419712,264,train-00264-of-00396.parquet,38,67886
43154323856707672,264,train-00264-of-00396.parquet,46,67894
42085216302419813,264,train-00264-of-00396.parquet,52,67900
43154319561744862,264,train-00264-of-00396.parquet,56,67904
43154319561744034,264,train-00264-of-00396.parquet,64,67912
43154319561744163,264,train-00264-of-00396.parquet,68,67916
43154323856707958,264,train-00264-of-00396.parquet,70,67918
43154323856706864,264,train-00264-of-00396.parquet,78,67926
43154319561743366,264,train-00264-of-00396.parquet,83,67931
43154319561743538,264,train-00264-of-00396.parquet,92,67940
42085074568511613,264,train-00264-of-00396.parquet,95,67943
42085078863465531,264,train-00264-of-00396.parquet,101,67949
42085078863465462,264,train-00264-of-00396.parquet,121,67969
43154182122795474,264,train-00264-of-00396.parquet,135,67983
43154182122794363,264,train-00264-of-00396.parquet,137,67985
43154182122795716,264,train-00264-of-00396.parquet,140,67988
43154186417755382,264,train-00264-of-00396.parquet,146,67994
43154182122797841,264,train-00264-of-00396.parquet,155,68003
42085078863471601,264,train-00264-of-00396.parquet,161,68009
43154182122797715,264,train-00264-of-00396.parquet,164,68012
43154323856710941,264,train-00264-of-00396.parquet,199,68047
43154328151670460,264,train-00264-of-00396.parquet,202,68050
43154328151655511,264,train-00264-of-00396.parquet,226,68074
43154323856712058,264,train-00264-of-00396.parquet,227,68075
43154328151669752,264,train-00264-of-00396.parquet,232,68080
43154323856711698,264,train-00264-of-00396.parquet,246,68094
43154323856712253,264,train-00264-of-00396.parquet,249,68097
43154328151672371,265,train-00265-of-00396.parquet,7,68112
43154323856708637,265,train-00265-of-00396.parquet,12,68117
43154323856712860,265,train-00265-of-00396.parquet,15,68120
43154323856715010,265,train-00265-of-00396.parquet,31,68136
43154323856709433,265,train-00265-of-00396.parquet,50,68155
43154190712721510,265,train-00265-of-00396.parquet,64,68169
43154186417759874,265,train-00265-of-00396.parquet,66,68171
43154186417763079,265,train-00265-of-00396.parquet,84,68189
43154190712722300,265,train-00265-of-00396.parquet,89,68194
43154190712722318,265,train-00265-of-00396.parquet,93,68198
43154186417765564,265,train-00265-of-00396.parquet,97,68202
43154186417765565,265,train-00265-of-00396.parquet,98,68203
43154186417759909,265,train-00265-of-00396.parquet,101,68206
43154186417759373,265,train-00265-of-00396.parquet,111,68216
43154186417756736,265,train-00265-of-00396.parquet,114,68219
43154186417757472,265,train-00265-of-00396.parquet,117,68222
42089601464025980,265,train-00265-of-00396.parquet,123,68228
42089601464009483,265,train-00265-of-00396.parquet,125,68230
43154332446626209,265,train-00265-of-00396.parquet,136,68241
43154332446626086,265,train-00265-of-00396.parquet,138,68243
43154332446626079,265,train-00265-of-00396.parquet,140,68245
43154190712730300,265,train-00265-of-00396.parquet,156,68261
43154195007690595,265,train-00265-of-00396.parquet,157,68262
43154195007685826,265,train-00265-of-00396.parquet,167,68272
43154195007687066,265,train-00265-of-00396.parquet,168,68273
43154195007687565,265,train-00265-of-00396.parquet,173,68278
43154195007689986,265,train-00265-of-00396.parquet,177,68282
43154195007691915,265,train-00265-of-00396.parquet,178,68283
42089605758998502,265,train-00265-of-00396.parquet,192,68297
42089605758996863,265,train-00265-of-00396.parquet,204,68309
42089605758996305,265,train-00265-of-00396.parquet,206,68311
42089605758995933,265,train-00265-of-00396.parquet,215,68320
42089601464027959,265,train-00265-of-00396.parquet,225,68330
42089601464033622,265,train-00265-of-00396.parquet,234,68339
42089605758999087,265,train-00265-of-00396.parquet,250,68355
42089464025055709,265,train-00265-of-00396.parquet,254,68359
42089468320047532,266,train-00266-of-00396.parquet,0,68362
42089464025073938,266,train-00266-of-00396.parquet,25,68387
42089468320048571,266,train-00266-of-00396.parquet,26,68388
42089468320049380,266,train-00266-of-00396.parquet,27,68389
42089464025074587,266,train-00266-of-00396.parquet,30,68392
42089464025069662,266,train-00266-of-00396.parquet,34,68396
42089464025073331,266,train-00266-of-00396.parquet,39,68401
42089464025055537,266,train-00266-of-00396.parquet,40,68402
42089464025073406,266,train-00266-of-00396.parquet,41,68403
42089468320049553,266,train-00266-of-00396.parquet,42,68404
42089468320044590,266,train-00266-of-00396.parquet,47,68409
42089464025073847,266,train-00266-of-00396.parquet,71,68433
42089464025074060,266,train-00266-of-00396.parquet,76,68438
42089464025070005,266,train-00266-of-00396.parquet,82,68444
42089468320048606,266,train-00266-of-00396.parquet,85,68447
42089605759008682,266,train-00266-of-00396.parquet,121,68483
42089605759006792,266,train-00266-of-00396.parquet,128,68490
42089605759006250,266,train-00266-of-00396.parquet,138,68500
42089605759010448,266,train-00266-of-00396.parquet,140,68502
42089605759009835,266,train-00266-of-00396.parquet,144,68506
42089610053973262,266,train-00266-of-00396.parquet,147,68509
42089610053966043,266,train-00266-of-00396.parquet,161,68523
42089605759006860,266,train-00266-of-00396.parquet,166,68528
42089605759006858,266,train-00266-of-00396.parquet,177,68539
42089605759003420,266,train-00266-of-00396.parquet,179,68541
42089610053966116,266,train-00266-of-00396.parquet,184,68546
42089605759005286,266,train-00266-of-00396.parquet,193,68555
42089605759002913,266,train-00266-of-00396.parquet,197,68559
42089610053965536,266,train-00266-of-00396.parquet,201,68563
42089468320054795,266,train-00266-of-00396.parquet,214,68576
42089472615012554,266,train-00266-of-00396.parquet,221,68583
42089468320053503,266,train-00266-of-00396.parquet,236,68598
42089468320054550,266,train-00266-of-00396.parquet,239,68601
42089472615012785,266,train-00266-of-00396.parquet,240,68602
42089468320057869,266,train-00266-of-00396.parquet,249,68611
42089472615015124,266,train-00266-of-00396.parquet,251,68613
42089472615024340,266,train-00266-of-00396.parquet,253,68615
42089472615016190,267,train-00267-of-00396.parquet,3,68622
42089472615021354,267,train-00267-of-00396.parquet,41,68660
42089468320058573,267,train-00267-of-00396.parquet,43,68662
42089472615021357,267,train-00267-of-00396.parquet,46,68665
42089472615013943,267,train-00267-of-00396.parquet,49,68668
42089468320058443,267,train-00267-of-00396.parquet,50,68669
42089472615016921,267,train-00267-of-00396.parquet,56,68675
42089472615018221,267,train-00267-of-00396.parquet,62,68681
42089468320051659,267,train-00267-of-00396.parquet,69,68688
42089472615018854,267,train-00267-of-00396.parquet,70,68689
42089468320051208,267,train-00267-of-00396.parquet,73,68692
42089468320058142,267,train-00267-of-00396.parquet,74,68693
42089614348934411,267,train-00267-of-00396.parquet,92,68711
42089610053978646,267,train-00267-of-00396.parquet,98,68717
42089614348934777,267,train-00267-of-00396.parquet,106,68725
43158717608263240,267,train-00267-of-00396.parquet,113,68732
42089610053977333,267,train-00267-of-00396.parquet,117,68736
42089610053977334,267,train-00267-of-00396.parquet,120,68739
42089614348928522,267,train-00267-of-00396.parquet,130,68749
42089614348935642,267,train-00267-of-00396.parquet,134,68753
42089614348929660,267,train-00267-of-00396.parquet,135,68754
43158717608259585,267,train-00267-of-00396.parquet,143,68762
42089476909977855,267,train-00267-of-00396.parquet,151,68770
42089476909976467,267,train-00267-of-00396.parquet,159,68778
42090288658798760,267,train-00267-of-00396.parquet,242,68861
