TARGETID,file_idx,parquet_file,row_in_file,abs_index
1483p015-11875,262,train-00262-of-00396.parquet,156,67490
1483p015-12497,262,train-00262-of-00396.parquet,171,67505
1483p015-12618,262,train-00262-of-00396.parquet,175,67509
1483p017-13568,262,train-00262-of-00396.parquet,188,67522
1483p017-13758,262,train-00262-of-00396.parquet,191,67525
1483p017-13979,262,train-00262-of-00396.parquet,193,67527
1483p017-14057,262,train-00262-of-00396.parquet,195,67529
1483p017-14104,262,train-00262-of-00396.parquet,196,67530
1486p012-6162,263,train-00263-of-00396.parquet,85,67676
1486p012-6243,263,train-00263-of-00396.parquet,89,67680
1486p012-6861,263,train-00263-of-00396.parquet,107,67698
1486p012-7209,263,train-00263-of-00396.parquet,110,67701
1486p012-8919,263,train-00263-of-00396.parquet,118,67709
1486p012-10124,263,train-00263-of-00396.parquet,126,67717
1486p012-10546,263,train-00263-of-00396.parquet,132,67723
1486p012-10603,263,train-00263-of-00396.parquet,133,67724
1486p012-11513,263,train-00263-of-00396.parquet,153,67744
1486p012-12044,263,train-00263-of-00396.parquet,160,67751
1486p012-12281,263,train-00263-of-00396.parquet,163,67754
1486p012-13244,263,train-00263-of-00396.parquet,178,67769
1486p012-14225,263,train-00263-of-00396.parquet,199,67790
1486p015-391,263,train-00263-of-00396.parquet,213,67804
1486p015-881,263,train-00263-of-00396.parquet,233,67824
1486p015-3188,264,train-00264-of-00396.parquet,1,67849
1486p015-3202,264,train-00264-of-00396.parquet,2,67850
1486p015-3455,264,train-00264-of-00396.parquet,6,67854
1486p015-3461,264,train-00264-of-00396.parquet,7,67855
1486p015-3463,264,train-00264-of-00396.parquet,8,67856
1486p015-5026,264,train-00264-of-00396.parquet,38,67886
1486p015-5178,264,train-00264-of-00396.parquet,46,67894
1486p015-5392,264,train-00264-of-00396.parquet,52,67900
1486p015-5714,264,train-00264-of-00396.parquet,56,67904
1486p015-6092,264,train-00264-of-00396.parquet,64,67912
1486p015-6282,264,train-00264-of-00396.parquet,68,67916
1486p015-6396,264,train-00264-of-00396.parquet,70,67918
1486p015-6699,264,train-00264-of-00396.parquet,78,67926
1486p015-6836,264,train-00264-of-00396.parquet,83,67931
1486p015-7074,264,train-00264-of-00396.parquet,87,67935
1486p015-7181,264,train-00264-of-00396.parquet,92,67940
1486p015-7379,264,train-00264-of-00396.parquet,95,67943
1486p015-7663,264,train-00264-of-00396.parquet,101,67949
1486p015-8416,264,train-00264-of-00396.parquet,121,67969
1486p015-9233,264,train-00264-of-00396.parquet,135,67983
1486p015-9288,264,train-00264-of-00396.parquet,137,67985
